Street,Area,City,Price,Alicuota,sqms,sqm_cov,Rooms,Toilets,Garages,Url,PricePerSqm,lat,lng
,La Carolina,Quito,950,['100'],270,['180'],['3'],['3'],['2'],https://www.plusvalia.com/propiedades/penthauses-estrenar-piscina-republica-del-salvador-58006245.html,3.5185185185185186,-0.1854961,-78.4837189
REAL AUDIENCIA Y VILLALOBOS,Ponceano,Quito,500,['53'],95,['95'],['2'],['2'],['1'],https://www.plusvalia.com/propiedades/flamante-departamento-en-renta-para-vivir-divinamente.-57927732.html,5.2631578947368425,-0.1025891,-78.4821018
Granda Centeno ,Granda Centeno,Quito,585,['1'],100,['100'],['2'],['2'],['2'],https://www.plusvalia.com/propiedades/departamento-con-balcon-de-alquiler-sector-granda-57798095.html,5.85,-0.1728797,-78.4965043
Humboldt y Coruña ,González Suárez,Quito,1710,['495'],400,['354'],['3'],['3'],['3'],https://www.plusvalia.com/propiedades/arriendo-lujoso-departamento-3-dorm.-sector-gonzalez-57748556.html,4.275,-0.1946794,-78.47937259999999
,Cumbayá,Quito,2000,['250'],260,['200'],['3'],['3'],['2'],https://www.plusvalia.com/propiedades/arriendo-dpto-moderno-$200-3-dorm.-dentro-de-57865475.html,7.6923076923076925,-0.2107252,-78.44108949999999
,El Batán,Quito,700,['0'],147,['135'],['3'],['2'],['1'],https://www.plusvalia.com/propiedades/arriendo-departamento-atras-del-quicentro-135-m-sup2--57787653.html,4.761904761904762,-0.1630886,-78.4628632
Calle Borja Cumbayá,Cumbayá,Quito,1480,['236'],180,['155'],['3'],['2'],['2'],https://www.plusvalia.com/propiedades/con-linea-blanca-completa-arriendo-exclusivo-57822611.html,8.222222222222221,-0.2031835,-78.44775369999999
,Centro Norte,Quito,900,['0'],110,['110'],['3'],['2'],['1'],https://www.plusvalia.com/propiedades/renta!-hermoso-departamento-3-dorm.-amoblado-con-57786770.html,8.181818181818182,-0.1775545,-78.4862109
Chimborazo,Cumbayá,Quito,800,['130'],90,['90'],['2'],['2'],['1'],https://www.plusvalia.com/propiedades/se-alquila-departamento-en-cumbaya-en-el-conjunto-57986848.html,8.88888888888889,-0.1806532,-78.4678382
Valparaíso N8-45 y Don Bosco,Centro de Quito,Quito,700,['0'],98,['63'],['1'],['1'],['1'],https://www.plusvalia.com/propiedades/arriendo-suite-exclusiva-por-estrenar.-sector-57731952.html,7.142857142857143,-0.2220789,-78.5039934
Gonzalez Suarez y Coruña,González Suárez,Quito,1200,['300'],250,['215'],['3'],['2'],['2'],https://www.plusvalia.com/propiedades/depto-3-dorm.-linda-vista-piscina-areas-humedas-57735818.html,4.8,-0.1955935,-78.4803367
Eloy Alfaro 3625 y Luis Armendariz,El Batán,Quito,590,['150'],105,['86'],['2'],['2'],['0'],https://www.plusvalia.com/propiedades/arriendo-departamento-amoblado-86-m-sup2-57720875.html,5.619047619047619,-0.1757766,-78.4725045
Portugal y 6 diciembre,El Batán,Quito,900,['1'],300,['200'],['3'],['3'],['2'],https://www.plusvalia.com/propiedades/departamento-portugal-y-6-diciembre-3-dorm.-200-m.2-57844899.html,3.0,-0.1821735,-78.478689
,Bellavista,Quito,900,['1'],100,['100'],['2'],['1'],['0'],https://www.plusvalia.com/propiedades/se-arrienda-lindo-departamento-amoblado-sector-57787735.html,9.0,-0.1872127,-78.4759048
Cumbaya,Cumbayá,Quito,940,['160'],122,['115'],['2'],['2'],['2'],https://www.plusvalia.com/propiedades/rento-departamento-amoblado-115-m-sup2--sector-57821555.html,7.704918032786885,-0.1806532,-78.4678382
,Centro Norte,Quito,420,['80'],90,['75'],['2'],['2'],['1'],https://www.plusvalia.com/propiedades/arriendo-departamento-2-dorm.-sector-la-granja-57867317.html,4.666666666666667,-0.1775545,-78.4862109
José Tamayo y Luis Cordero,Centro Norte,Quito,650,['125'],85,['85'],['2'],['2'],['2'],https://www.plusvalia.com/propiedades/departamento-de-renta-amoblado-perfecto-para-57816878.html,7.647058823529412,-0.2042259,-78.48606020000001
,Norte de Quito,Quito,660,['0'],161,['130'],['4'],['2'],['2'],https://www.plusvalia.com/propiedades/departamento-en-renta-4-habitaciones-santa-lucia-por-57801201.html,4.099378881987578,-0.3122637,-78.54190489999999
Francisco Salazar y Av. Colón ,Centro Norte,Quito,500,['1'],85,['70'],['2'],['2'],['1'],https://www.plusvalia.com/propiedades/en-renta-exclusivo-departamento-2-dorm.-12-de-octubre-57994356.html,5.882352941176471,-0.2061381,-78.48311489999999
Republica del Salvador,Centro Norte,Quito,500,['110'],98,['98'],['2'],['2'],['1'],https://www.plusvalia.com/propiedades/arriendo-departamento-2-habitaciones-republica-del-57723379.html,5.1020408163265305,-0.1816018,-78.48028
SHIRYS Y NACIONES UNIDAS,La Carolina,Quito,550,['120'],105,['75'],['2'],['2'],['2'],https://www.plusvalia.com/propiedades/quicentro-norte-renta-departamento-dos-domitorios-57912563.html,5.238095238095238,-0.1766023,-78.4809118
Portugal y Shyris,Centro Norte,Quito,1100,['230'],110,['110'],['3'],['2'],['1'],https://www.plusvalia.com/propiedades/rento-hermoso-departamento-amoblado-sector-carolina-57857096.html,10.0,-0.1814447,-78.4817892
,Quito Tenis,Quito,370,['0'],68,['68'],['2'],['1'],['1'],https://www.plusvalia.com/propiedades/rento-lindo-dpto-2-dorm.-quito-tenis-bajo-57793701.html,5.4411764705882355,-0.1659935,-78.4936632
,El Inca,Quito,650,['0'],120,['120'],['4'],['3'],['2'],https://www.plusvalia.com/propiedades/departamento-de-renta-la-luz-57777974.html,5.416666666666667,-0.1568082,-78.4794568
Moscu y Checoslovaquia,La Carolina,Quito,900,['216'],166,['166'],['3'],['2'],['2'],https://www.plusvalia.com/propiedades/re-max-futuro-renta-amplio-departamento-amoblado-57725071.html,5.421686746987952,-0.1856651,-78.4803491
el batan,El Batán,Quito,1310,['0'],228,['171'],['3'],['3'],['2'],https://www.plusvalia.com/propiedades/departamento-de-arriendo-en-el-batan-57834394.html,5.745614035087719,-0.1630886,-78.4628632
Av República de El Salvador,Centro Norte,Quito,700,['120'],70,['70'],['2'],['2'],['1'],https://www.plusvalia.com/propiedades/departamento-de-renta-amoblado-republica-de-el-57859835.html,10.0,-0.1816018,-78.48028
Japón,Centro Norte,Quito,1200,['0'],130,['120'],['3'],['2'],['1'],https://www.plusvalia.com/propiedades/rento-departamento-amoblado-sector-plataforma-57724132.html,9.23076923076923,-0.1743773,-78.4835124
Juan Severino y Eloy Alfaro ,La Carolina,Quito,600,['130'],124,['124'],['3'],['2'],['2'],https://www.plusvalia.com/propiedades/departamento-en-alquiler-en-el-sector-la-pradera-el-57989503.html,4.838709677419355,-0.1896941,-78.4838473
Av. La Coruña y Whymper,González Suárez,Quito,950,['164'],100,['100'],['2'],['2'],['2'],https://www.plusvalia.com/propiedades/rento-departamento-la-coruna-57752089.html,9.5,-0.1962046,-78.4811173
